variation_index,original_row_index,run_number,unique_run_id,model_name,model_response_full,model_response_parsed,gold_answer,is_correct
29,5,1,5_29_1,google/gemma-3-12b-it,model,model,N/A,
18,5,1,5_18_1,google/gemma-3-12b-it,model,model,N/A,
14,5,1,5_14_1,google/gemma-3-12b-it,model,model,N/A,
87,5,1,5_87_1,google/gemma-3-12b-it,model,model,N/A,
82,6,1,6_82_1,google/gemma-3-12b-it,model,model,N/A,
15,6,1,6_15_1,google/gemma-3-12b-it,model,model,N/A,
4,6,1,6_4_1,google/gemma-3-12b-it,model,model,N/A,
95,6,1,6_95_1,google/gemma-3-12b-it,model,model,N/A,
36,6,1,6_36_1,google/gemma-3-12b-it,model,model,N/A,
32,6,1,6_32_1,google/gemma-3-12b-it,model,model,N/A,
29,6,1,6_29_1,google/gemma-3-12b-it,model,model,N/A,
18,6,1,6_18_1,google/gemma-3-12b-it,model,model,N/A,
14,6,1,6_14_1,google/gemma-3-12b-it,model,model,N/A,
87,6,1,6_87_1,google/gemma-3-12b-it,model,model,N/A,
82,7,1,7_82_1,google/gemma-3-12b-it,model,model,N/A,
15,7,1,7_15_1,google/gemma-3-12b-it,model,model,N/A,
4,7,1,7_4_1,google/gemma-3-12b-it,model,model,N/A,
95,7,1,7_95_1,google/gemma-3-12b-it,model,model,N/A,
36,7,1,7_36_1,google/gemma-3-12b-it,model,model,N/A,
32,7,1,7_32_1,google/gemma-3-12b-it,model,model,N/A,
29,7,1,7_29_1,google/gemma-3-12b-it,model,model,N/A,
18,7,1,7_18_1,google/gemma-3-12b-it,model,model,N/A,
14,7,1,7_14_1,google/gemma-3-12b-it,model,model,N/A,
87,7,1,7_87_1,google/gemma-3-12b-it,model,model,N/A,
82,8,1,8_82_1,google/gemma-3-12b-it,model,model,N/A,
15,8,1,8_15_1,google/gemma-3-12b-it,model,model,N/A,
4,8,1,8_4_1,google/gemma-3-12b-it,model,model,N/A,
95,8,1,8_95_1,google/gemma-3-12b-it,model,model,N/A,
36,8,1,8_36_1,google/gemma-3-12b-it,model,model,N/A,
32,8,1,8_32_1,google/gemma-3-12b-it,model,model,N/A,
29,8,1,8_29_1,google/gemma-3-12b-it,model,model,N/A,
18,8,1,8_18_1,google/gemma-3-12b-it,model,model,N/A,
14,8,1,8_14_1,google/gemma-3-12b-it,model,model,N/A,
87,8,1,8_87_1,google/gemma-3-12b-it,model,model,N/A,
82,9,1,9_82_1,google/gemma-3-12b-it,model,model,N/A,
15,9,1,9_15_1,google/gemma-3-12b-it,model,model,N/A,
4,9,1,9_4_1,google/gemma-3-12b-it,model,model,N/A,
95,9,1,9_95_1,google/gemma-3-12b-it,model,model,N/A,
36,9,1,9_36_1,google/gemma-3-12b-it,model,model,N/A,
32,9,1,9_32_1,google/gemma-3-12b-it,model,model,N/A,
29,9,1,9_29_1,google/gemma-3-12b-it,model,model,N/A,
18,9,1,9_18_1,google/gemma-3-12b-it,model,model,N/A,
14,9,1,9_14_1,google/gemma-3-12b-it,model,model,N/A,
87,9,1,9_87_1,google/gemma-3-12b-it,model,model,N/A,
82,10,1,10_82_1,google/gemma-3-12b-it,model,model,N/A,
15,10,1,10_15_1,google/gemma-3-12b-it,model,model,N/A,
4,10,1,10_4_1,google/gemma-3-12b-it,model,model,N/A,
95,10,1,10_95_1,google/gemma-3-12b-it,model,model,N/A,
36,10,1,10_36_1,google/gemma-3-12b-it,model,model,N/A,
32,10,1,10_32_1,google/gemma-3-12b-it,model,model,N/A,
29,10,1,10_29_1,google/gemma-3-12b-it,model,model,N/A,
18,10,1,10_18_1,google/gemma-3-12b-it,model,model,N/A,
14,10,1,10_14_1,google/gemma-3-12b-it,model,model,N/A,
87,10,1,10_87_1,google/gemma-3-12b-it,model,model,N/A,
82,11,1,11_82_1,google/gemma-3-12b-it,model,model,N/A,
15,11,1,11_15_1,google/gemma-3-12b-it,model,model,N/A,
4,11,1,11_4_1,google/gemma-3-12b-it,model,model,N/A,
95,11,1,11_95_1,google/gemma-3-12b-it,model,model,N/A,
36,11,1,11_36_1,google/gemma-3-12b-it,model,model,N/A,
32,11,1,11_32_1,google/gemma-3-12b-it,model,model,N/A,
29,11,1,11_29_1,google/gemma-3-12b-it,model,model,N/A,
18,11,1,11_18_1,google/gemma-3-12b-it,model,model,N/A,
14,11,1,11_14_1,google/gemma-3-12b-it,model,model,N/A,
87,11,1,11_87_1,google/gemma-3-12b-it,model,model,N/A,
82,12,1,12_82_1,google/gemma-3-12b-it,model,model,N/A,
15,12,1,12_15_1,google/gemma-3-12b-it,model,model,N/A,
4,12,1,12_4_1,google/gemma-3-12b-it,model,model,N/A,
95,12,1,12_95_1,google/gemma-3-12b-it,model,model,N/A,
36,12,1,12_36_1,google/gemma-3-12b-it,model,model,N/A,
32,12,1,12_32_1,google/gemma-3-12b-it,model,model,N/A,
29,12,1,12_29_1,google/gemma-3-12b-it,model,model,N/A,
18,12,1,12_18_1,google/gemma-3-12b-it,model,model,N/A,
14,12,1,12_14_1,google/gemma-3-12b-it,model,model,N/A,
87,12,1,12_87_1,google/gemma-3-12b-it,model,model,N/A,
82,13,1,13_82_1,google/gemma-3-12b-it,model,model,N/A,
15,13,1,13_15_1,google/gemma-3-12b-it,model,model,N/A,
4,13,1,13_4_1,google/gemma-3-12b-it,model,model,N/A,
95,13,1,13_95_1,google/gemma-3-12b-it,model,model,N/A,
36,13,1,13_36_1,google/gemma-3-12b-it,model,model,N/A,
32,13,1,13_32_1,google/gemma-3-12b-it,model,model,N/A,
29,13,1,13_29_1,google/gemma-3-12b-it,model,model,N/A,
18,13,1,13_18_1,google/gemma-3-12b-it,model,model,N/A,
14,13,1,13_14_1,google/gemma-3-12b-it,model,model,N/A,
87,13,1,13_87_1,google/gemma-3-12b-it,model,model,N/A,
82,14,1,14_82_1,google/gemma-3-12b-it,model,model,N/A,
15,14,1,14_15_1,google/gemma-3-12b-it,model,model,N/A,
4,14,1,14_4_1,google/gemma-3-12b-it,model,model,N/A,
95,14,1,14_95_1,google/gemma-3-12b-it,model,model,N/A,
36,14,1,14_36_1,google/gemma-3-12b-it,model,model,N/A,
32,14,1,14_32_1,google/gemma-3-12b-it,model,model,N/A,
29,14,1,14_29_1,google/gemma-3-12b-it,model,model,N/A,
18,14,1,14_18_1,google/gemma-3-12b-it,model,model,N/A,
14,14,1,14_14_1,google/gemma-3-12b-it,model,model,N/A,
87,14,1,14_87_1,google/gemma-3-12b-it,model,model,N/A,
82,15,1,15_82_1,google/gemma-3-12b-it,model,model,N/A,
15,15,1,15_15_1,google/gemma-3-12b-it,model,model,N/A,
4,15,1,15_4_1,google/gemma-3-12b-it,model,model,N/A,
95,15,1,15_95_1,google/gemma-3-12b-it,model,model,N/A,
36,15,1,15_36_1,google/gemma-3-12b-it,model,model,N/A,
32,15,1,15_32_1,google/gemma-3-12b-it,model,model,N/A,
29,15,1,15_29_1,google/gemma-3-12b-it,model,model,N/A,
18,15,1,15_18_1,google/gemma-3-12b-it,model,model,N/A,
14,15,1,15_14_1,google/gemma-3-12b-it,model,model,N/A,
87,15,1,15_87_1,google/gemma-3-12b-it,model,model,N/A,
82,16,1,16_82_1,google/gemma-3-12b-it,model,model,N/A,
15,16,1,16_15_1,google/gemma-3-12b-it,model,model,N/A,
4,16,1,16_4_1,google/gemma-3-12b-it,model,model,N/A,
95,16,1,16_95_1,google/gemma-3-12b-it,model,model,N/A,
36,16,1,16_36_1,google/gemma-3-12b-it,model,model,N/A,
32,16,1,16_32_1,google/gemma-3-12b-it,model,model,N/A,
29,16,1,16_29_1,google/gemma-3-12b-it,model,model,N/A,
18,16,1,16_18_1,google/gemma-3-12b-it,model,model,N/A,
14,16,1,16_14_1,google/gemma-3-12b-it,model,model,N/A,
87,16,1,16_87_1,google/gemma-3-12b-it,model,model,N/A,
82,17,1,17_82_1,google/gemma-3-12b-it,model,model,N/A,
15,17,1,17_15_1,google/gemma-3-12b-it,model,model,N/A,
4,17,1,17_4_1,google/gemma-3-12b-it,model,model,N/A,
95,17,1,17_95_1,google/gemma-3-12b-it,model,model,N/A,
36,17,1,17_36_1,google/gemma-3-12b-it,model,model,N/A,
32,17,1,17_32_1,google/gemma-3-12b-it,model,model,N/A,
29,17,1,17_29_1,google/gemma-3-12b-it,model,model,N/A,
18,17,1,17_18_1,google/gemma-3-12b-it,model,model,N/A,
14,17,1,17_14_1,google/gemma-3-12b-it,model,model,N/A,
87,17,1,17_87_1,google/gemma-3-12b-it,model,model,N/A,
82,18,1,18_82_1,google/gemma-3-12b-it,model,model,N/A,
15,18,1,18_15_1,google/gemma-3-12b-it,model,model,N/A,
4,18,1,18_4_1,google/gemma-3-12b-it,model,model,N/A,
95,18,1,18_95_1,google/gemma-3-12b-it,model,model,N/A,
36,18,1,18_36_1,google/gemma-3-12b-it,model,model,N/A,
32,18,1,18_32_1,google/gemma-3-12b-it,model,model,N/A,
29,18,1,18_29_1,google/gemma-3-12b-it,model,model,N/A,
18,18,1,18_18_1,google/gemma-3-12b-it,model,model,N/A,
14,18,1,18_14_1,google/gemma-3-12b-it,model,model,N/A,
87,18,1,18_87_1,google/gemma-3-12b-it,model,model,N/A,
82,19,1,19_82_1,google/gemma-3-12b-it,model,model,N/A,
15,19,1,19_15_1,google/gemma-3-12b-it,model,model,N/A,
4,19,1,19_4_1,google/gemma-3-12b-it,model,model,N/A,
95,19,1,19_95_1,google/gemma-3-12b-it,model,model,N/A,
36,19,1,19_36_1,google/gemma-3-12b-it,model,model,N/A,
32,19,1,19_32_1,google/gemma-3-12b-it,model,model,N/A,
29,19,1,19_29_1,google/gemma-3-12b-it,model,model,N/A,
18,19,1,19_18_1,google/gemma-3-12b-it,model,model,N/A,
14,19,1,19_14_1,google/gemma-3-12b-it,model,model,N/A,
87,19,1,19_87_1,google/gemma-3-12b-it,model,model,N/A,
82,20,1,20_82_1,google/gemma-3-12b-it,model,model,N/A,
15,20,1,20_15_1,google/gemma-3-12b-it,model,model,N/A,
4,20,1,20_4_1,google/gemma-3-12b-it,model,model,N/A,
95,20,1,20_95_1,google/gemma-3-12b-it,model,model,N/A,
36,20,1,20_36_1,google/gemma-3-12b-it,model,model,N/A,
32,20,1,20_32_1,google/gemma-3-12b-it,model,model,N/A,
29,20,1,20_29_1,google/gemma-3-12b-it,model,model,N/A,
18,20,1,20_18_1,google/gemma-3-12b-it,model,model,N/A,
14,20,1,20_14_1,google/gemma-3-12b-it,model,model,N/A,
87,20,1,20_87_1,google/gemma-3-12b-it,model,model,N/A,
82,21,1,21_82_1,google/gemma-3-12b-it,model,model,N/A,
15,21,1,21_15_1,google/gemma-3-12b-it,model,model,N/A,
4,21,1,21_4_1,google/gemma-3-12b-it,model,model,N/A,
95,21,1,21_95_1,google/gemma-3-12b-it,model,model,N/A,
36,21,1,21_36_1,google/gemma-3-12b-it,model,model,N/A,
32,21,1,21_32_1,google/gemma-3-12b-it,model,model,N/A,
29,21,1,21_29_1,google/gemma-3-12b-it,model,model,N/A,
18,21,1,21_18_1,google/gemma-3-12b-it,model,model,N/A,
14,21,1,21_14_1,google/gemma-3-12b-it,model,model,N/A,
87,21,1,21_87_1,google/gemma-3-12b-it,model,model,N/A,
82,22,1,22_82_1,google/gemma-3-12b-it,model,model,N/A,
15,22,1,22_15_1,google/gemma-3-12b-it,model,model,N/A,
4,22,1,22_4_1,google/gemma-3-12b-it,model,model,N/A,
95,22,1,22_95_1,google/gemma-3-12b-it,model,model,N/A,
36,22,1,22_36_1,google/gemma-3-12b-it,model,model,N/A,
32,22,1,22_32_1,google/gemma-3-12b-it,model,model,N/A,
29,22,1,22_29_1,google/gemma-3-12b-it,model,model,N/A,
18,22,1,22_18_1,google/gemma-3-12b-it,model,model,N/A,
14,22,1,22_14_1,google/gemma-3-12b-it,model,model,N/A,
87,22,1,22_87_1,google/gemma-3-12b-it,model,model,N/A,
82,23,1,23_82_1,google/gemma-3-12b-it,model,model,N/A,
15,23,1,23_15_1,google/gemma-3-12b-it,model,model,N/A,
4,23,1,23_4_1,google/gemma-3-12b-it,model,model,N/A,
95,23,1,23_95_1,google/gemma-3-12b-it,model,model,N/A,
36,23,1,23_36_1,google/gemma-3-12b-it,model,model,N/A,
32,23,1,23_32_1,google/gemma-3-12b-it,model,model,N/A,
29,23,1,23_29_1,google/gemma-3-12b-it,model,model,N/A,
18,23,1,23_18_1,google/gemma-3-12b-it,model,model,N/A,
14,23,1,23_14_1,google/gemma-3-12b-it,model,model,N/A,
87,23,1,23_87_1,google/gemma-3-12b-it,model,model,N/A,
82,24,1,24_82_1,google/gemma-3-12b-it,model,model,N/A,
15,24,1,24_15_1,google/gemma-3-12b-it,model,model,N/A,
4,24,1,24_4_1,google/gemma-3-12b-it,model,model,N/A,
95,24,1,24_95_1,google/gemma-3-12b-it,model,model,N/A,
36,24,1,24_36_1,google/gemma-3-12b-it,model,model,N/A,
32,24,1,24_32_1,google/gemma-3-12b-it,model,model,N/A,
29,24,1,24_29_1,google/gemma-3-12b-it,model,model,N/A,
18,24,1,24_18_1,google/gemma-3-12b-it,model,model,N/A,
14,24,1,24_14_1,google/gemma-3-12b-it,model,model,N/A,
87,24,1,24_87_1,google/gemma-3-12b-it,model,model,N/A,
82,25,1,25_82_1,google/gemma-3-12b-it,model,model,N/A,
15,25,1,25_15_1,google/gemma-3-12b-it,model,model,N/A,
4,25,1,25_4_1,google/gemma-3-12b-it,model,model,N/A,
95,25,1,25_95_1,google/gemma-3-12b-it,model,model,N/A,
36,25,1,25_36_1,google/gemma-3-12b-it,model,model,N/A,
32,25,1,25_32_1,google/gemma-3-12b-it,model,model,N/A,
29,25,1,25_29_1,google/gemma-3-12b-it,model,model,N/A,
18,25,1,25_18_1,google/gemma-3-12b-it,model,model,N/A,
14,25,1,25_14_1,google/gemma-3-12b-it,model,model,N/A,
87,25,1,25_87_1,google/gemma-3-12b-it,model,model,N/A,
82,26,1,26_82_1,google/gemma-3-12b-it,model,model,N/A,
15,26,1,26_15_1,google/gemma-3-12b-it,model,model,N/A,
4,26,1,26_4_1,google/gemma-3-12b-it,model,model,N/A,
95,26,1,26_95_1,google/gemma-3-12b-it,model,model,N/A,
36,26,1,26_36_1,google/gemma-3-12b-it,model,model,N/A,
32,26,1,26_32_1,google/gemma-3-12b-it,model,model,N/A,
29,26,1,26_29_1,google/gemma-3-12b-it,model,model,N/A,
18,26,1,26_18_1,google/gemma-3-12b-it,model,model,N/A,
14,26,1,26_14_1,google/gemma-3-12b-it,model,model,N/A,
87,26,1,26_87_1,google/gemma-3-12b-it,model,model,N/A,
82,27,1,27_82_1,google/gemma-3-12b-it,model,model,N/A,
15,27,1,27_15_1,google/gemma-3-12b-it,model,model,N/A,
4,27,1,27_4_1,google/gemma-3-12b-it,model,model,N/A,
95,27,1,27_95_1,google/gemma-3-12b-it,model,model,N/A,
36,27,1,27_36_1,google/gemma-3-12b-it,model,model,N/A,
32,27,1,27_32_1,google/gemma-3-12b-it,model,model,N/A,
29,27,1,27_29_1,google/gemma-3-12b-it,model,model,N/A,
18,27,1,27_18_1,google/gemma-3-12b-it,model,model,N/A,
14,27,1,27_14_1,google/gemma-3-12b-it,model,model,N/A,
87,27,1,27_87_1,google/gemma-3-12b-it,model,model,N/A,
82,28,1,28_82_1,google/gemma-3-12b-it,model,model,N/A,
15,28,1,28_15_1,google/gemma-3-12b-it,model,model,N/A,
4,28,1,28_4_1,google/gemma-3-12b-it,model,model,N/A,
95,28,1,28_95_1,google/gemma-3-12b-it,model,model,N/A,
36,28,1,28_36_1,google/gemma-3-12b-it,model,model,N/A,
32,28,1,28_32_1,google/gemma-3-12b-it,model,model,N/A,
29,28,1,28_29_1,google/gemma-3-12b-it,model,model,N/A,
18,28,1,28_18_1,google/gemma-3-12b-it,model,model,N/A,
14,28,1,28_14_1,google/gemma-3-12b-it,model,model,N/A,
87,28,1,28_87_1,google/gemma-3-12b-it,model,model,N/A,
82,29,1,29_82_1,google/gemma-3-12b-it,model,model,N/A,
15,29,1,29_15_1,google/gemma-3-12b-it,model,model,N/A,
4,29,1,29_4_1,google/gemma-3-12b-it,model,model,N/A,
95,29,1,29_95_1,google/gemma-3-12b-it,model,model,N/A,
36,29,1,29_36_1,google/gemma-3-12b-it,model,model,N/A,
32,29,1,29_32_1,google/gemma-3-12b-it,model,model,N/A,
29,29,1,29_29_1,google/gemma-3-12b-it,model,model,N/A,
18,29,1,29_18_1,google/gemma-3-12b-it,model,model,N/A,
14,29,1,29_14_1,google/gemma-3-12b-it,model,model,N/A,
87,29,1,29_87_1,google/gemma-3-12b-it,model,model,N/A,
82,30,1,30_82_1,google/gemma-3-12b-it,model,model,N/A,
15,30,1,30_15_1,google/gemma-3-12b-it,model,model,N/A,
4,30,1,30_4_1,google/gemma-3-12b-it,model,model,N/A,
95,30,1,30_95_1,google/gemma-3-12b-it,model,model,N/A,
36,30,1,30_36_1,google/gemma-3-12b-it,model,model,N/A,
32,30,1,30_32_1,google/gemma-3-12b-it,model,model,N/A,
29,30,1,30_29_1,google/gemma-3-12b-it,model,model,N/A,
18,30,1,30_18_1,google/gemma-3-12b-it,model,model,N/A,
14,30,1,30_14_1,google/gemma-3-12b-it,model,model,N/A,
87,30,1,30_87_1,google/gemma-3-12b-it,model,model,N/A,
82,31,1,31_82_1,google/gemma-3-12b-it,model,model,N/A,
15,31,1,31_15_1,google/gemma-3-12b-it,model,model,N/A,
4,31,1,31_4_1,google/gemma-3-12b-it,model,model,N/A,
95,31,1,31_95_1,google/gemma-3-12b-it,model,model,N/A,
36,31,1,31_36_1,google/gemma-3-12b-it,model,model,N/A,
32,31,1,31_32_1,google/gemma-3-12b-it,model,model,N/A,
29,31,1,31_29_1,google/gemma-3-12b-it,model,model,N/A,
18,31,1,31_18_1,google/gemma-3-12b-it,model,model,N/A,
14,31,1,31_14_1,google/gemma-3-12b-it,model,model,N/A,
87,31,1,31_87_1,google/gemma-3-12b-it,model,model,N/A,
82,32,1,32_82_1,google/gemma-3-12b-it,model,model,N/A,
15,32,1,32_15_1,google/gemma-3-12b-it,model,model,N/A,
4,32,1,32_4_1,google/gemma-3-12b-it,model,model,N/A,
95,32,1,32_95_1,google/gemma-3-12b-it,model,model,N/A,
36,32,1,32_36_1,google/gemma-3-12b-it,model,model,N/A,
32,32,1,32_32_1,google/gemma-3-12b-it,model,model,N/A,
29,32,1,32_29_1,google/gemma-3-12b-it,model,model,N/A,
18,32,1,32_18_1,google/gemma-3-12b-it,model,model,N/A,
14,32,1,32_14_1,google/gemma-3-12b-it,model,model,N/A,
87,32,1,32_87_1,google/gemma-3-12b-it,model,model,N/A,
82,33,1,33_82_1,google/gemma-3-12b-it,model,model,N/A,
15,33,1,33_15_1,google/gemma-3-12b-it,model,model,N/A,
4,33,1,33_4_1,google/gemma-3-12b-it,model,model,N/A,
95,33,1,33_95_1,google/gemma-3-12b-it,model,model,N/A,
36,33,1,33_36_1,google/gemma-3-12b-it,model,model,N/A,
32,33,1,33_32_1,google/gemma-3-12b-it,model,model,N/A,
29,33,1,33_29_1,google/gemma-3-12b-it,model,model,N/A,
18,33,1,33_18_1,google/gemma-3-12b-it,model,model,N/A,
14,33,1,33_14_1,google/gemma-3-12b-it,model,model,N/A,
87,33,1,33_87_1,google/gemma-3-12b-it,model,model,N/A,
82,34,1,34_82_1,google/gemma-3-12b-it,model,model,N/A,
15,34,1,34_15_1,google/gemma-3-12b-it,model,model,N/A,
4,34,1,34_4_1,google/gemma-3-12b-it,model,model,N/A,
95,34,1,34_95_1,google/gemma-3-12b-it,model,model,N/A,
36,34,1,34_36_1,google/gemma-3-12b-it,model,model,N/A,
32,34,1,34_32_1,google/gemma-3-12b-it,model,model,N/A,
29,34,1,34_29_1,google/gemma-3-12b-it,model,model,N/A,
18,34,1,34_18_1,google/gemma-3-12b-it,model,model,N/A,
14,34,1,34_14_1,google/gemma-3-12b-it,model,model,N/A,
87,34,1,34_87_1,google/gemma-3-12b-it,model,model,N/A,
82,35,1,35_82_1,google/gemma-3-12b-it,model,model,N/A,
15,35,1,35_15_1,google/gemma-3-12b-it,model,model,N/A,
4,35,1,35_4_1,google/gemma-3-12b-it,model,model,N/A,
95,35,1,35_95_1,google/gemma-3-12b-it,model,model,N/A,
36,35,1,35_36_1,google/gemma-3-12b-it,model,model,N/A,
32,35,1,35_32_1,google/gemma-3-12b-it,model,model,N/A,
29,35,1,35_29_1,google/gemma-3-12b-it,model,model,N/A,
18,35,1,35_18_1,google/gemma-3-12b-it,model,model,N/A,
14,35,1,35_14_1,google/gemma-3-12b-it,model,model,N/A,
87,35,1,35_87_1,google/gemma-3-12b-it,model,model,N/A,
82,36,1,36_82_1,google/gemma-3-12b-it,model,model,N/A,
15,36,1,36_15_1,google/gemma-3-12b-it,model,model,N/A,
4,36,1,36_4_1,google/gemma-3-12b-it,model,model,N/A,
95,36,1,36_95_1,google/gemma-3-12b-it,model,model,N/A,
36,36,1,36_36_1,google/gemma-3-12b-it,model,model,N/A,
32,36,1,36_32_1,google/gemma-3-12b-it,model,model,N/A,
29,36,1,36_29_1,google/gemma-3-12b-it,model,model,N/A,
18,36,1,36_18_1,google/gemma-3-12b-it,model,model,N/A,
14,36,1,36_14_1,google/gemma-3-12b-it,model,model,N/A,
87,36,1,36_87_1,google/gemma-3-12b-it,model,model,N/A,
82,37,1,37_82_1,google/gemma-3-12b-it,model,model,N/A,
15,37,1,37_15_1,google/gemma-3-12b-it,model,model,N/A,
4,37,1,37_4_1,google/gemma-3-12b-it,model,model,N/A,
95,37,1,37_95_1,google/gemma-3-12b-it,model,model,N/A,
36,37,1,37_36_1,google/gemma-3-12b-it,model,model,N/A,
32,37,1,37_32_1,google/gemma-3-12b-it,model,model,N/A,
29,37,1,37_29_1,google/gemma-3-12b-it,model,model,N/A,
18,37,1,37_18_1,google/gemma-3-12b-it,model,model,N/A,
14,37,1,37_14_1,google/gemma-3-12b-it,model,model,N/A,
87,37,1,37_87_1,google/gemma-3-12b-it,model,model,N/A,
82,38,1,38_82_1,google/gemma-3-12b-it,model,model,N/A,
15,38,1,38_15_1,google/gemma-3-12b-it,model,model,N/A,
4,38,1,38_4_1,google/gemma-3-12b-it,model,model,N/A,
95,38,1,38_95_1,google/gemma-3-12b-it,model,model,N/A,
36,38,1,38_36_1,google/gemma-3-12b-it,model,model,N/A,
32,38,1,38_32_1,google/gemma-3-12b-it,model,model,N/A,
29,38,1,38_29_1,google/gemma-3-12b-it,model,model,N/A,
18,38,1,38_18_1,google/gemma-3-12b-it,model,model,N/A,
14,38,1,38_14_1,google/gemma-3-12b-it,model,model,N/A,
87,38,1,38_87_1,google/gemma-3-12b-it,model,model,N/A,
82,39,1,39_82_1,google/gemma-3-12b-it,model,model,N/A,
15,39,1,39_15_1,google/gemma-3-12b-it,model,model,N/A,
4,39,1,39_4_1,google/gemma-3-12b-it,model,model,N/A,
95,39,1,39_95_1,google/gemma-3-12b-it,model,model,N/A,
36,39,1,39_36_1,google/gemma-3-12b-it,model,model,N/A,
32,39,1,39_32_1,google/gemma-3-12b-it,model,model,N/A,
29,39,1,39_29_1,google/gemma-3-12b-it,model,model,N/A,
18,39,1,39_18_1,google/gemma-3-12b-it,model,model,N/A,
14,39,1,39_14_1,google/gemma-3-12b-it,model,model,N/A,
87,39,1,39_87_1,google/gemma-3-12b-it,model,model,N/A,
82,40,1,40_82_1,google/gemma-3-12b-it,model,model,N/A,
15,40,1,40_15_1,google/gemma-3-12b-it,model,model,N/A,
4,40,1,40_4_1,google/gemma-3-12b-it,model,model,N/A,
95,40,1,40_95_1,google/gemma-3-12b-it,model,model,N/A,
36,40,1,40_36_1,google/gemma-3-12b-it,model,model,N/A,
32,40,1,40_32_1,google/gemma-3-12b-it,model,model,N/A,
29,40,1,40_29_1,google/gemma-3-12b-it,model,model,N/A,
18,40,1,40_18_1,google/gemma-3-12b-it,model,model,N/A,
